,CallSumOI,PutSumOI,Time
09:16:06,0,0,09:16:06
09:20:05,110840,-29020,09:20:05
09:22:03,110840,-29020,09:22:03
09:24:04,163900,-28340,09:24:04
09:26:04,212840,11160,09:26:04
09:28:03,244560,11940,09:28:03
09:30:03,263120,12180,09:30:03
09:32:03,263120,12180,09:32:03
09:34:02,263120,12180,09:34:02
09:36:03,269320,51280,09:36:03
09:38:03,282980,87940,09:38:03
09:40:03,297000,129920,09:40:03
09:42:03,297000,129920,09:42:03
09:44:03,296580,158100,09:44:03
09:46:03,296580,158100,09:46:03
09:48:03,295360,194760,09:48:03
09:50:02,271520,253640,09:50:02
09:52:03,271520,253640,09:52:03
09:54:03,247880,310900,09:54:03
09:56:03,228120,376420,09:56:03
09:58:03,216800,439360,09:58:03
10:00:04,216800,439360,10:00:04
10:02:04,210840,455440,10:02:04
10:04:04,213080,477700,10:04:04
10:06:06,213080,477700,10:06:06
10:08:03,214040,509920,10:08:03
10:14:03,204500,571580,10:14:03
10:16:03,211360,560260,10:16:03
10:18:03,211360,560260,10:18:03
10:20:04,219360,555620,10:20:04
10:22:03,228120,570520,10:22:03
10:24:03,228120,570520,10:24:03
10:26:03,231920,556400,10:26:03
10:28:03,242720,509580,10:28:03
10:30:06,264800,431640,10:30:06
10:32:03,264800,431640,10:32:03
10:34:03,286620,367300,10:34:03
10:36:03,286620,367300,10:36:03
10:38:04,312200,314320,10:38:04
10:40:03,335200,306440,10:40:03
10:42:03,335200,306440,10:42:03
10:44:04,372960,299080,10:44:04
10:46:03,374640,315780,10:46:03
10:48:04,374640,315780,10:48:04
10:50:03,395580,291220,10:50:03
10:52:03,412700,300140,10:52:03
10:54:03,412700,300140,10:54:03
10:56:04,412700,300140,10:56:04
10:58:04,401500,309260,10:58:04
11:00:05,401500,309260,11:00:05
11:02:04,409000,302400,11:02:04
11:04:04,418760,306340,11:04:04
11:06:03,418760,306340,11:06:03
11:08:04,436620,304140,11:08:04
11:10:04,477280,280740,11:10:04
11:12:03,495720,270240,11:12:03
11:14:03,495720,270240,11:14:03
11:16:04,481460,281560,11:16:04
11:18:04,481460,281560,11:18:04
11:20:04,482540,314740,11:20:04
11:22:05,488980,326060,11:22:05
11:24:03,488980,326060,11:24:03
11:26:04,476240,318600,11:26:04
11:28:03,472000,320260,11:28:03
11:30:04,472000,320260,11:30:04
11:32:02,457620,310480,11:32:02
11:34:03,462960,315440,11:34:03
11:36:03,462960,315440,11:36:03
11:38:04,461020,313460,11:38:04
11:40:08,455020,325540,11:40:08
11:42:03,455020,325540,11:42:03
11:44:03,456380,329060,11:44:03
11:46:03,469040,307620,11:46:03
11:48:03,469480,309820,11:48:03
11:50:05,469480,309820,11:50:05
11:52:03,471440,315460,11:52:03
11:54:04,471440,315460,11:54:04
11:56:04,479020,309020,11:56:04
11:58:03,488600,297440,11:58:03
12:00:04,488600,297440,12:00:04
12:02:04,497060,313000,12:02:04
12:04:04,503420,316740,12:04:04
12:06:04,503420,316740,12:06:04
12:08:03,508840,304140,12:08:03
12:10:03,512380,312940,12:10:03
12:12:03,512380,312940,12:12:03
12:14:03,507880,316560,12:14:03
12:16:04,507880,316560,12:16:04
12:18:04,507540,315660,12:18:04
12:20:04,498560,315760,12:20:04
12:22:05,473380,329440,12:22:05
12:24:06,404540,367280,12:24:06
12:26:03,404540,367280,12:26:03
12:28:03,398400,391800,12:28:03
12:30:03,391040,416380,12:30:03
12:32:03,391040,416380,12:32:03
12:34:03,367480,479580,12:34:03
12:36:03,363440,485440,12:36:03
12:38:03,363440,485440,12:38:03
12:40:03,363440,485440,12:40:03
